Region,Year,Indicator Name,Indicator Value,Source,Indicator Group
Amhara,2008,General government expenditure on health (GGHE) as a share o,6.4,NHA,HSTP II indicator
Amhara,2010,General government expenditure on health (GGHE) as a share o,8,NHA,HSTP II indicator
Amhara,2011,General government expenditure on health (GGHE) as a share o,8,NHA,HSTP II indicator
Amhara,2013,General government expenditure on health (GGHE) as a share o,11.4,NHA,HSTP II indicator
Amhara,2014,General government expenditure on health (GGHE) as a share o,11.4,NHA,HSTP II indicator
Amhara,2017,General government expenditure on health (GGHE) as a share o,11.2,NHA,HSTP II indicator
Amhara,1995,Total health expenditure per-capita (USD) ,2.69,NHA,HSTP II indicator
Amhara,1996,Total health expenditure per-capita (USD) ,2.69,NHA,HSTP II indicator
Amhara,1999,Total health expenditure per-capita (USD) ,3.47,NHA,HSTP II indicator
Amhara,2000,Total health expenditure per-capita (USD) ,3.47,NHA,HSTP II indicator
Amhara,2004,Total health expenditure per-capita (USD) ,4.15,NHA,HSTP II indicator
Amhara,2005,Total health expenditure per-capita (USD) ,4.15,NHA,HSTP II indicator
Amhara,2007,Total health expenditure per-capita (USD) ,13.73,NHA,HSTP II indicator
Amhara,2008,Total health expenditure per-capita (USD) ,13.73,NHA,HSTP II indicator
Amhara,2010,Total health expenditure per-capita (USD) ,16.41,NHA,HSTP II indicator
Amhara,2011,Total health expenditure per-capita (USD) ,16.41,NHA,HSTP II indicator
Amhara,2013,Total health expenditure per-capita (USD) ,23.79,NHA,HSTP II indicator
Amhara,2014,Total health expenditure per-capita (USD) ,23.79,NHA,HSTP II indicator
Amhara,2016,Total health expenditure per-capita (USD) ,27.76,NHA,HSTP II indicator
Amhara,2017,Total health expenditure per-capita (USD) ,27.76,NHA,HSTP II indicator
Oromia,1995,Out of Pocket Expenditure as a share of total health expendi,112,NHA,HSTP II indicator
Oromia,1996,Out of Pocket Expenditure as a share of total health expendi,112,NHA,HSTP II indicator
Oromia,1999,Out of Pocket Expenditure as a share of total health expendi,76.6,NHA,HSTP II indicator
Oromia,2000,Out of Pocket Expenditure as a share of total health expendi,76.6,NHA,HSTP II indicator
Oromia,2004,Out of Pocket Expenditure as a share of total health expendi,65.9,NHA,HSTP II indicator
Oromia,2005,Out of Pocket Expenditure as a share of total health expendi,65.9,NHA,HSTP II indicator
Oromia,2007,Out of Pocket Expenditure as a share of total health expendi,78.9,NHA,HSTP II indicator
Oromia,2008,Out of Pocket Expenditure as a share of total health expendi,78.9,NHA,HSTP II indicator
Oromia,2010,Out of Pocket Expenditure as a share of total health expendi,72.3,NHA,HSTP II indicator
Oromia,2011,Out of Pocket Expenditure as a share of total health expendi,72.3,NHA,HSTP II indicator
Oromia,2013,Out of Pocket Expenditure as a share of total health expendi,70.2,NHA,HSTP II indicator
Oromia,2014,Out of Pocket Expenditure as a share of total health expendi,70.2,NHA,HSTP II indicator
Oromia,2016,Out of Pocket Expenditure as a share of total health expendi,65.2,NHA,HSTP II indicator
Oromia,2017,Out of Pocket Expenditure as a share of total health expendi,65.2,NHA,HSTP II indicator
Oromia,1995,General government expenditure on health (GGHE) as a share o,7.4,NHA,HSTP II indicator
Oromia,1996,General government expenditure on health (GGHE) as a share o,7.4,NHA,HSTP II indicator
Oromia,1999,General government expenditure on health (GGHE) as a share o,7.9,NHA,HSTP II indicator
Oromia,2000,General government expenditure on health (GGHE) as a share o,7.9,NHA,HSTP II indicator
Oromia,2004,General government expenditure on health (GGHE) as a share o,6.8,NHA,HSTP II indicator
Oromia,2005,General government expenditure on health (GGHE) as a share o,6.8,NHA,HSTP II indicator
Oromia,2007,General government expenditure on health (GGHE) as a share o,6.8,NHA,HSTP II indicator
Oromia,2008,General government expenditure on health (GGHE) as a share o,6.8,NHA,HSTP II indicator
Oromia,2010,General government expenditure on health (GGHE) as a share o,11,NHA,HSTP II indicator
Oromia,2011,General government expenditure on health (GGHE) as a share o,11,NHA,HSTP II indicator
Oromia,2013,General government expenditure on health (GGHE) as a share o,11.8,NHA,HSTP II indicator
Oromia,2014,General government expenditure on health (GGHE) as a share o,11.8,NHA,HSTP II indicator
Oromia,2017,General government expenditure on health (GGHE) as a share o,10.7,NHA,HSTP II indicator
Oromia,1995,Total health expenditure per-capita (USD) ,3.55,NHA,HSTP II indicator
Oromia,1996,Total health expenditure per-capita (USD) ,3.55,NHA,HSTP II indicator
Oromia,1999,Total health expenditure per-capita (USD) ,4.57,NHA,HSTP II indicator
Oromia,2000,Total health expenditure per-capita (USD) ,4.57,NHA,HSTP II indicator
Oromia,2004,Total health expenditure per-capita (USD) ,5.56,NHA,HSTP II indicator
Oromia,2005,Total health expenditure per-capita (USD) ,5.56,NHA,HSTP II indicator
Oromia,2007,Total health expenditure per-capita (USD) ,11.25,NHA,HSTP II indicator
Oromia,2008,Total health expenditure per-capita (USD) ,11.25,NHA,HSTP II indicator
Oromia,2010,Total health expenditure per-capita (USD) ,13.38,NHA,HSTP II indicator
Oromia,2011,Total health expenditure per-capita (USD) ,13.38,NHA,HSTP II indicator
Oromia,2013,Total health expenditure per-capita (USD) ,17.95,NHA,HSTP II indicator
Oromia,2014,Total health expenditure per-capita (USD) ,17.95,NHA,HSTP II indicator
Oromia,2016,Total health expenditure per-capita (USD) ,19.77,NHA,HSTP II indicator
Oromia,2017,Total health expenditure per-capita (USD) ,19.77,NHA,HSTP II indicator
Somalia,1995,Out of Pocket Expenditure as a share of total health expendi,55.4,NHA,HSTP II indicator
Somalia,1996,Out of Pocket Expenditure as a share of total health expendi,55.4,NHA,HSTP II indicator
Somalia,1999,Out of Pocket Expenditure as a share of total health expendi,37.9,NHA,HSTP II indicator
Somalia,2000,Out of Pocket Expenditure as a share of total health expendi,37.9,NHA,HSTP II indicator
Somalia,2004,Out of Pocket Expenditure as a share of total health expendi,32.6,NHA,HSTP II indicator
Somalia,2005,Out of Pocket Expenditure as a share of total health expendi,32.6,NHA,HSTP II indicator
Somalia,2007,Out of Pocket Expenditure as a share of total health expendi,39,NHA,HSTP II indicator
Somalia,2008,Out of Pocket Expenditure as a share of total health expendi,39,NHA,HSTP II indicator
Somalia,2010,Out of Pocket Expenditure as a share of total health expendi,35.8,NHA,HSTP II indicator
Somalia,2011,Out of Pocket Expenditure as a share of total health expendi,35.8,NHA,HSTP II indicator
Somalia,2013,Out of Pocket Expenditure as a share of total health expendi,34.7,NHA,HSTP II indicator
Somalia,2014,Out of Pocket Expenditure as a share of total health expendi,34.7,NHA,HSTP II indicator
Somalia,2016,Out of Pocket Expenditure as a share of total health expendi,32.3,NHA,HSTP II indicator
Somalia,2017,Out of Pocket Expenditure as a share of total health expendi,32.3,NHA,HSTP II indicator
Somalia,1995,General government expenditure on health (GGHE) as a share o,4.8,NHA,HSTP II indicator
Somalia,1996,General government expenditure on health (GGHE) as a share o,4.8,NHA,HSTP II indicator
Somalia,1999,General government expenditure on health (GGHE) as a share o,5.2,NHA,HSTP II indicator
Somalia,2000,General government expenditure on health (GGHE) as a share o,5.2,NHA,HSTP II indicator
Somalia,2004,General government expenditure on health (GGHE) as a share o,4.4,NHA,HSTP II indicator
Somalia,2005,General government expenditure on health (GGHE) as a share o,4.4,NHA,HSTP II indicator
Somalia,2007,General government expenditure on health (GGHE) as a share o,4.4,NHA,HSTP II indicator
Somalia,2008,General government expenditure on health (GGHE) as a share o,4.4,NHA,HSTP II indicator
Somalia,2010,General government expenditure on health (GGHE) as a share o,10.3,NHA,HSTP II indicator
Somalia,2011,General government expenditure on health (GGHE) as a share o,10.3,NHA,HSTP II indicator
Somalia,2013,General government expenditure on health (GGHE) as a share o,9.6,NHA,HSTP II indicator
Somalia,2014,General government expenditure on health (GGHE) as a share o,9.6,NHA,HSTP II indicator
Somalia,2017,General government expenditure on health (GGHE) as a share o,6,NHA,HSTP II indicator
Somalia,1995,Total health expenditure per-capita (USD) ,2.87,NHA,HSTP II indicator
Somalia,1996,Total health expenditure per-capita (USD) ,2.87,NHA,HSTP II indicator
Somalia,1999,Total health expenditure per-capita (USD) ,3.7,NHA,HSTP II indicator
Somalia,2000,Total health expenditure per-capita (USD) ,3.7,NHA,HSTP II indicator
Somalia,2004,Total health expenditure per-capita (USD) ,5.94,NHA,HSTP II indicator
Somalia,2005,Total health expenditure per-capita (USD) ,5.94,NHA,HSTP II indicator
Somalia,2007,Total health expenditure per-capita (USD) ,10.94,NHA,HSTP II indicator
Somalia,2008,Total health expenditure per-capita (USD) ,10.94,NHA,HSTP II indicator
Somalia,2010,Total health expenditure per-capita (USD) ,13.1,NHA,HSTP II indicator
Somalia,2011,Total health expenditure per-capita (USD) ,13.1,NHA,HSTP II indicator
Somalia,2013,Total health expenditure per-capita (USD) ,20.47,NHA,HSTP II indicator
Somalia,2014,Total health expenditure per-capita (USD) ,20.47,NHA,HSTP II indicator
Somalia,2016,Total health expenditure per-capita (USD) ,25.27,NHA,HSTP II indicator
Somalia,2017,Total health expenditure per-capita (USD) ,25.27,NHA,HSTP II indicator
Benshangul Gumuz,1995,Out of Pocket Expenditure as a share of total health expendi,59.5,NHA,HSTP II indicator
Benshangul Gumuz,1996,Out of Pocket Expenditure as a share of total health expendi,59.5,NHA,HSTP II indicator
Benshangul Gumuz,1999,Out of Pocket Expenditure as a share of total health expendi,40.7,NHA,HSTP II indicator
Benshangul Gumuz,2000,Out of Pocket Expenditure as a share of total health expendi,40.7,NHA,HSTP II indicator
Benshangul Gumuz,2004,Out of Pocket Expenditure as a share of total health expendi,35,NHA,HSTP II indicator
Benshangul Gumuz,2005,Out of Pocket Expenditure as a share of total health expendi,35,NHA,HSTP II indicator
Benshangul Gumuz,2007,Out of Pocket Expenditure as a share of total health expendi,41.9,NHA,HSTP II indicator
Benshangul Gumuz,2008,Out of Pocket Expenditure as a share of total health expendi,41.9,NHA,HSTP II indicator
Benshangul Gumuz,2010,Out of Pocket Expenditure as a share of total health expendi,38.4,NHA,HSTP II indicator
Benshangul Gumuz,2011,Out of Pocket Expenditure as a share of total health expendi,38.4,NHA,HSTP II indicator
Benshangul Gumuz,2013,Out of Pocket Expenditure as a share of total health expendi,37.3,NHA,HSTP II indicator
Benshangul Gumuz,2014,Out of Pocket Expenditure as a share of total health expendi,37.3,NHA,HSTP II indicator
Benshangul Gumuz,2016,Out of Pocket Expenditure as a share of total health expendi,34.6,NHA,HSTP II indicator
Benshangul Gumuz,2017,Out of Pocket Expenditure as a share of total health expendi,34.6,NHA,HSTP II indicator
Benshangul Gumuz,1995,General government expenditure on health (GGHE) as a share o,7.8,NHA,HSTP II indicator
Benshangul Gumuz,1996,General government expenditure on health (GGHE) as a share o,7.8,NHA,HSTP II indicator
Benshangul Gumuz,1999,General government expenditure on health (GGHE) as a share o,8.4,NHA,HSTP II indicator
Benshangul Gumuz,2000,General government expenditure on health (GGHE) as a share o,8.4,NHA,HSTP II indicator
Benshangul Gumuz,2004,General government expenditure on health (GGHE) as a share o,7.2,NHA,HSTP II indicator
Benshangul Gumuz,2005,General government expenditure on health (GGHE) as a share o,7.2,NHA,HSTP II indicator
Benshangul Gumuz,2007,General government expenditure on health (GGHE) as a share o,7.2,NHA,HSTP II indicator
Benshangul Gumuz,2008,General government expenditure on health (GGHE) as a share o,7.2,NHA,HSTP II indicator
Benshangul Gumuz,2010,General government expenditure on health (GGHE) as a share o,10,NHA,HSTP II indicator
Benshangul Gumuz,2011,General government expenditure on health (GGHE) as a share o,10,NHA,HSTP II indicator
Benshangul Gumuz,2013,General government expenditure on health (GGHE) as a share o,15.3,NHA,HSTP II indicator
Benshangul Gumuz,2014,General government expenditure on health (GGHE) as a share o,15.3,NHA,HSTP II indicator
Benshangul Gumuz,2017,General government expenditure on health (GGHE) as a share o,11.4,NHA,HSTP II indicator
Benshangul Gumuz,1995,Total health expenditure per-capita (USD) ,4.84,NHA,HSTP II indicator
Benshangul Gumuz,1996,Total health expenditure per-capita (USD) ,4.84,NHA,HSTP II indicator
Benshangul Gumuz,1999,Total health expenditure per-capita (USD) ,6.24,NHA,HSTP II indicator
Benshangul Gumuz,2000,Total health expenditure per-capita (USD) ,6.24,NHA,HSTP II indicator
Benshangul Gumuz,2004,Total health expenditure per-capita (USD) ,10.44,NHA,HSTP II indicator
Benshangul Gumuz,2005,Total health expenditure per-capita (USD) ,10.44,NHA,HSTP II indicator
Benshangul Gumuz,2007,Total health expenditure per-capita (USD) ,26.57,NHA,HSTP II indicator
Benshangul Gumuz,2008,Total health expenditure per-capita (USD) ,26.57,NHA,HSTP II indicator
Benshangul Gumuz,2010,Total health expenditure per-capita (USD) ,31.52,NHA,HSTP II indicator
Benshangul Gumuz,2011,Total health expenditure per-capita (USD) ,31.52,NHA,HSTP II indicator
Benshangul Gumuz,2013,Total health expenditure per-capita (USD) ,42.34,NHA,HSTP II indicator
Benshangul Gumuz,2014,Total health expenditure per-capita (USD) ,42.34,NHA,HSTP II indicator
Benshangul Gumuz,2016,Total health expenditure per-capita (USD) ,46.66,NHA,HSTP II indicator
Benshangul Gumuz,2017,Total health expenditure per-capita (USD) ,46.66,NHA,HSTP II indicator
SNNPR,1995,Out of Pocket Expenditure as a share of total health expendi,37.8,NHA,HSTP II indicator
SNNPR,1996,Out of Pocket Expenditure as a share of total health expendi,37.8,NHA,HSTP II indicator
SNNPR,1999,Out of Pocket Expenditure as a share of total health expendi,25.8,NHA,HSTP II indicator
SNNPR,2000,Out of Pocket Expenditure as a share of total health expendi,25.8,NHA,HSTP II indicator
SNNPR,2004,Out of Pocket Expenditure as a share of total health expendi,22.2,NHA,HSTP II indicator
SNNPR,2005,Out of Pocket Expenditure as a share of total health expendi,22.2,NHA,HSTP II indicator
SNNPR,2007,Out of Pocket Expenditure as a share of total health expendi,26.6,NHA,HSTP II indicator
SNNPR,2008,Out of Pocket Expenditure as a share of total health expendi,26.6,NHA,HSTP II indicator
SNNPR,2010,Out of Pocket Expenditure as a share of total health expendi,24.4,NHA,HSTP II indicator
SNNPR,2011,Out of Pocket Expenditure as a share of total health expendi,24.4,NHA,HSTP II indicator
SNNPR,2013,Out of Pocket Expenditure as a share of total health expendi,23.7,NHA,HSTP II indicator
SNNPR,2014,Out of Pocket Expenditure as a share of total health expendi,23.7,NHA,HSTP II indicator
SNNPR,2016,Out of Pocket Expenditure as a share of total health expendi,22,NHA,HSTP II indicator
SNNPR,2017,Out of Pocket Expenditure as a share of total health expendi,22,NHA,HSTP II indicator
SNNPR,1995,General government expenditure on health (GGHE) as a share o,6.6,NHA,HSTP II indicator
SNNPR,1996,General government expenditure on health (GGHE) as a share o,6.6,NHA,HSTP II indicator
SNNPR,1999,General government expenditure on health (GGHE) as a share o,7.1,NHA,HSTP II indicator
SNNPR,2000,General government expenditure on health (GGHE) as a share o,7.1,NHA,HSTP II indicator
SNNPR,2004,General government expenditure on health (GGHE) as a share o,6.1,NHA,HSTP II indicator
SNNPR,2005,General government expenditure on health (GGHE) as a share o,6.1,NHA,HSTP II indicator
SNNPR,2007,General government expenditure on health (GGHE) as a share o,6.1,NHA,HSTP II indicator
SNNPR,2008,General government expenditure on health (GGHE) as a share o,6.1,NHA,HSTP II indicator
SNNPR,2010,General government expenditure on health (GGHE) as a share o,11.3,NHA,HSTP II indicator
SNNPR,2011,General government expenditure on health (GGHE) as a share o,11.3,NHA,HSTP II indicator
SNNPR,2013,General government expenditure on health (GGHE) as a share o,10.6,NHA,HSTP II indicator
SNNPR,2014,General government expenditure on health (GGHE) as a share o,10.6,NHA,HSTP II indicator
SNNPR,2017,General government expenditure on health (GGHE) as a share o,9.9,NHA,HSTP II indicator
SNNPR,1995,Total health expenditure per-capita (USD) ,3.15,NHA,HSTP II indicator
SNNPR,1996,Total health expenditure per-capita (USD) ,3.15,NHA,HSTP II indicator
SNNPR,1999,Total health expenditure per-capita (USD) ,4.06,NHA,HSTP II indicator
SNNPR,2000,Total health expenditure per-capita (USD) ,4.06,NHA,HSTP II indicator
SNNPR,2004,Total health expenditure per-capita (USD) ,5.95,NHA,HSTP II indicator
SNNPR,2005,Total health expenditure per-capita (USD) ,5.95,NHA,HSTP II indicator
SNNPR,2007,Total health expenditure per-capita (USD) ,8.14,NHA,HSTP II indicator
SNNPR,2008,Total health expenditure per-capita (USD) ,8.14,NHA,HSTP II indicator
SNNPR,2010,Total health expenditure per-capita (USD) ,13.96,NHA,HSTP II indicator
SNNPR,2011,Total health expenditure per-capita (USD) ,13.96,NHA,HSTP II indicator
SNNPR,2013,Total health expenditure per-capita (USD) ,18.98,NHA,HSTP II indicator
SNNPR,2014,Total health expenditure per-capita (USD) ,18.98,NHA,HSTP II indicator
SNNPR,2016,Total health expenditure per-capita (USD) ,21.1,NHA,HSTP II indicator
SNNPR,2017,Total health expenditure per-capita (USD) ,21.1,NHA,HSTP II indicator
Gambella,1995,Out of Pocket Expenditure as a share of total health expendi,22.5,NHA,HSTP II indicator
Gambella,1996,Out of Pocket Expenditure as a share of total health expendi,22.5,NHA,HSTP II indicator
Gambella,1999,Out of Pocket Expenditure as a share of total health expendi,15.4,NHA,HSTP II indicator
Gambella,2000,Out of Pocket Expenditure as a share of total health expendi,15.4,NHA,HSTP II indicator
Gambella,2004,Out of Pocket Expenditure as a share of total health expendi,13.3,NHA,HSTP II indicator
Gambella,2005,Out of Pocket Expenditure as a share of total health expendi,13.3,NHA,HSTP II indicator
Gambella,2007,Out of Pocket Expenditure as a share of total health expendi,15.9,NHA,HSTP II indicator
Gambella,2008,Out of Pocket Expenditure as a share of total health expendi,15.9,NHA,HSTP II indicator
Gambella,2010,Out of Pocket Expenditure as a share of total health expendi,14.6,NHA,HSTP II indicator
Gambella,2011,Out of Pocket Expenditure as a share of total health expendi,14.6,NHA,HSTP II indicator
Gambella,2013,Out of Pocket Expenditure as a share of total health expendi,14.1,NHA,HSTP II indicator
Gambella,2014,Out of Pocket Expenditure as a share of total health expendi,14.1,NHA,HSTP II indicator
Gambella,2016,Out of Pocket Expenditure as a share of total health expendi,13.1,NHA,HSTP II indicator
Gambella,2017,Out of Pocket Expenditure as a share of total health expendi,13.1,NHA,HSTP II indicator
Gambella,1995,General government expenditure on health (GGHE) as a share o,7,NHA,HSTP II indicator
Gambella,1996,General government expenditure on health (GGHE) as a share o,7,NHA,HSTP II indicator
Gambella,1999,General government expenditure on health (GGHE) as a share o,7.6,NHA,HSTP II indicator
Gambella,2000,General government expenditure on health (GGHE) as a share o,7.6,NHA,HSTP II indicator
Gambella,2004,General government expenditure on health (GGHE) as a share o,6.5,NHA,HSTP II indicator
Gambella,2005,General government expenditure on health (GGHE) as a share o,6.5,NHA,HSTP II indicator
Gambella,2007,General government expenditure on health (GGHE) as a share o,6.5,NHA,HSTP II indicator
Gambella,2008,General government expenditure on health (GGHE) as a share o,6.5,NHA,HSTP II indicator
